GroupingCategory;CategoryDescriptionNOB;GroupingCode;CodeDescriptionNOB
KA_K;KOSTRA Arts_K;800; Rammetilskudd
KA_K;KOSTRA Arts_K;810;Andre statlige overføringer
KA_K;KOSTRA Arts_K;830;Overføring fra fylkeskommuner
KA_K;KOSTRA Arts_K;850;Overføring fra kommuner
KA_K;KOSTRA Arts_K;870;Skatt på inntekt og formue
KA_K;KOSTRA Arts_K;874;Eiendomsskatt annen eiendom
KA_K;KOSTRA Arts_K;875;Eiendomsskatt boliger og fritidsboliger
KA_K;KOSTRA Arts_K;877;Andre direkte og indirekte skatter
KA_K;KOSTRA Arts_K;880;Overføringer fra kommunalt foretak i egen kommune eller fylkeskommunalt foretak i egen fylkeskommune
KA_K;KOSTRA Arts_K;890;Overføringer fra andre
KA_K;KOSTRA Arts_K;895;Overføringer fra interkommunalt selskap der kommunen eller fylkeskommunen selv er deltaker
KA_K;KOSTRA Arts_K;900;Renteinntekter
KA_K;KOSTRA Arts_K;901;Konserninterne renteinntekter
KA_K;KOSTRA Arts_K;905;Utbytte og eieruttak
KA_K;KOSTRA Arts_K;909;Gevinster på finansielle instrumenter
KA_K;KOSTRA Arts_K;910;Bruk av lån
KA_K;KOSTRA Arts_K;911;Bruk av konserninterne lån
KA_K;KOSTRA Arts_K;912;Bruk av lån til videreutlån
KA_K;KOSTRA Arts_K;920;Mottatte avdrag på utlån
KA_K;KOSTRA Arts_K;921;Mottatte avdrag på konserninterne utlån
KA_K;KOSTRA Arts_K;922;Mottatte avdrag på videreutlån
KA_K;KOSTRA Arts_K;929;Salg av aksjer og andeler
KA_K;KOSTRA Arts_K;930;Bruk av tidligere års regnskapsmessige mindreforbruk og udisponert beløp
KA_K;KOSTRA Arts_K;940;Bruk av ubundne fond
KA_K;KOSTRA Arts_K;950;Bruk av bundne fond
KA_K;KOSTRA Arts_K;970;Overføring fra drift
KA_K;KOSTRA Arts_K;980;Merforbruk og udekket beløp fremført til inndekning i senere år
KA_K;KOSTRA Arts_K;989;Rapportkontroll (negativt avvik)
KA_K;KOSTRA Arts_K;990;Motpost avskrivninger  
KA_K;KOSTRA Arts_K;2.10;Bankinnskudd og kontanter
KA_K;KOSTRA Arts_K;2.11;Obligasjoner (omløpsmidler)
KA_K;KOSTRA Arts_K;2.12;Sertifikater
KA_K;KOSTRA Arts_K;2.13;Kundefordringer
KA_K;KOSTRA Arts_K;2.14;Konserninterne kortsiktige fordringer
KA_K;KOSTRA Arts_K;2.15;Derivater
KA_K;KOSTRA Arts_K;2.16;Andre kortsiktige fordringer
KA_K;KOSTRA Arts_K;2.18;Aksjer og andeler (omløpsmidler)
KA_K;KOSTRA Arts_K;2.19;Premieavvik
KA_K;KOSTRA Arts_K;2.20;Pensjonsmidler
KA_K;KOSTRA Arts_K;2.21;Aksjer og andeler (anleggsmidler)
KA_K;KOSTRA Arts_K;2.22;Utlån (anleggsmidler)
KA_K;KOSTRA Arts_K;2.23;Konserninterne langsiktige fordringer
KA_K;KOSTRA Arts_K;2.24;Utstyr, maskiner og transportmidler
KA_K;KOSTRA Arts_K;2.27;Faste eiendomer og anlegg
KA_K;KOSTRA Arts_K;2.29;Obligasjoner (anleggsmidler)
KA_K;KOSTRA Arts_K;2.31;Likviditetslån
KA_K;KOSTRA Arts_K;2.32;Annen kortsiktig gjeld
KA_K;KOSTRA Arts_K;2.33;Konsernintern kortsiktig gjeld
KA_K;KOSTRA Arts_K;2.34;Derivater
KA_K;KOSTRA Arts_K;2.35;Leverandørgjeld
KA_K;KOSTRA Arts_K;2.39;Premieavvik
KA_K;KOSTRA Arts_K;2.40;Pensjonsforpliktelse
KA_K;KOSTRA Arts_K;2.41;Obligasjonslån
KA_K;KOSTRA Arts_K;2.42;Obligasjonslån med forfall i neste regnskapsår
KA_K;KOSTRA Arts_K;2.43;Sertifikatlån
KA_K;KOSTRA Arts_K;2.45;Gjeld til kredittinstitusjoner
KA_K;KOSTRA Arts_K;2.47;Konsernintern langsiktig gjeld
KA_K;KOSTRA Arts_K;2.51;Bundne driftsfond
KA_K;KOSTRA Arts_K;2.53;Ubundet investeringsfond
KA_K;KOSTRA Arts_K;2.55;Bundne investeringsfond
KA_K;KOSTRA Arts_K;2.56;Disposisjonsfond
KA_K;KOSTRA Arts_K;2.580;Prinsippendringer som påvirker arbeidskapitalen investering
KA_K;KOSTRA Arts_K;2.581;Prinsippendringer som påvirker arbeidskapitalen drift
KA_K;KOSTRA Arts_K;2.5900;Merforbruk i driftsregnskapet
KA_K;KOSTRA Arts_K;2.5970;Udekket beløp i investeringsregnskapet
KA_K;KOSTRA Arts_K;2.5990;Kapitalkonto
KA_K;KOSTRA Arts_K;2.9100;Ubrukte lånemidler
KA_K;KOSTRA Arts_K;2.9110;Ubrukte konserninterne lånemidler
KA_K;KOSTRA Arts_K;2.9200;Andre memoriakonti
KA_K;KOSTRA Arts_K;2.9999;Motkonto for memoriakontiene
